sentence_index,chapter_number,sentence
49,1,"""The one on my right was a colossal affair by any standard\u2014it was a factual imitation of some H\u00f4tel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool, and more than forty acres of lawn and garden."""
50,1,"""It was Gatsby\u2019s mansion."""
51,1,"""Or, rather, as I didn\u2019t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name."""
52,1,"""My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour\u2019s lawn, and the consoling proximity of millionaires\u2014all for eighty dollars a month."""
53,1,"""Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans."""
54,1,"""Daisy was my second cousin once removed, and I\u2019d known Tom in college."""
55,1,"""And just after the war I spent two days with them in Chicago."""
56,1,"""Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven\u2014a national figure in a way, one of those men who reach such an acute limited excellence at twenty-one that everything afterward savours of anticlimax."""
57,1,"""His family were enormously wealthy\u2014even in college his freedom with money was a matter for reproach\u2014but now he\u2019d left Chicago and come East in a fashion that rather took your breath away: for instance, he\u2019d brought down a string of polo ponies from Lake Forest."""
58,1,"""It was hard to realize that a man in my own generation was wealthy enough to do that."""
59,1,"""Why they came East"""
60,1,"""I don\u2019t know."""
61,1,"""They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together."""
62,1,"""This was a permanent move, said Daisy over the telephone, but I didn\u2019t believe it\u2014"""
63,1,"""I had no sight into Daisy\u2019s heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game."""
64,1,"""And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all."""
65,1,"""Their house was even more elaborate than I expected, a cheerful red-and-white Georgian Colonial mansion, overlooking the bay."""
66,1,"""The lawn started at the beach and ran towards the front door for a quarter of a mile, jumping over sundials and brick walks and burning gardens\u2014finally when it reached the house drifting up the side in bright vines as though from the momentum of its run."""
67,1,"""The front was broken by a line of French windows, glowing now with reflected gold and wide open to the warm windy afternoon, and Tom Buchanan in riding clothes was standing with his legs apart on the front porch."""
68,1,"""He had changed since his New Haven years."""
69,1,"""Now he was a sturdy straw-haired man of thirty, with a rather hard mouth and a supercilious manner."""
70,1,"""Two shining arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward."""
71,1,"""Not even the effeminate swank of his riding clothes could hide the enormous power of that body\u2014he seemed to fill those glistening boots until he strained the top lacing, and you could see a great pack of muscle shifting when his shoulder moved under his thin coat."""
72,1,"""It was a body capable of enormous leverage\u2014a cruel body."""
73,1,"""His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed."""
74,1,"""There was a touch of paternal contempt in it, even toward people he liked\u2014and there were men at New Haven who had hated his guts."""
75,1,"""\u201cNow, don\u2019t think my opinion on these matters is final,\u201d he seemed to say, \u201cjust because I\u2019m stronger and more of a man than you are.\u201d"""
76,1,"""We were in the same senior society, and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh, defiant wistfulness of his own."""
77,1,"""We talked for a few minutes on the sunny porch."""
78,1,"""\u201cI\u2019ve got a nice place here,\u201d he said, his eyes flashing about restlessly."""
79,1,"""Turning me around by one arm, he moved a broad flat hand along the front vista, including in its sweep a sunken Italian garden, a half acre of deep, pungent roses, and a snub-nosed motorboat that bumped the tide offshore."""
80,1,"""\u201cIt belonged to Demaine, the oil man.\u201d"""
81,1,"""He turned me around again, politely and abruptly."""
82,1,"""\u201cWe\u2019ll go inside.\u201d"""
83,1,"""We walked through a high hallway into a bright rosy-coloured space, fragilely bound into the house by French windows at either end."""
84,1,"""The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house."""
85,1,"""A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding-cake of the ceiling, and then rippled over the wine-coloured rug, making a shadow on it as wind does on the sea."""
86,1,"""The only completely stationary object in the room was an enormous couch on which two young women were buoyed up as though upon an anchored balloon."""
87,1,"""They were both in white, and their dresses were rippling and fluttering as if they had just been blown back in after a short flight around the house."""
88,1,"""I must have stood for a few moments listening to the whip and snap of the curtains and the groan of a picture on the wall."""
89,1,"""Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room, and the curtains and the rugs and the two young women ballooned slowly to the floor."""
90,1,"""The younger of the two was a stranger to me."""
91,1,"""She was extended full length at her end of the divan, completely motionless, and with her chin raised a little, as if she were balancing something on it which was quite likely to fall."""
92,1,"""If she saw me out of the corner of her eyes she gave no hint of it\u2014indeed, I was almost surprised into murmuring an apology for having disturbed her by coming in."""
93,1,"""The other girl, Daisy, made an attempt to rise\u2014she leaned slightly forward with a conscientious expression\u2014then she laughed, an absurd, charming little laugh, and I laughed too and came forward into the room."""
94,1,"""\u201cI\u2019m p-paralysed with happiness.\u201d"""
95,1,"""She laughed again, as if she said something very witty, and held my hand for a moment, looking up into my face, promising that there was no one in the world she so much wanted to see."""
96,1,"""That was a way she had."""
97,1,"""She hinted in a murmur that the surname of the balancing girl was Baker."""
98,1,"""(I\u2019ve heard it said that Daisy\u2019s murmur was only to make people lean toward her; an irrelevant criticism that made it no less charming.)"""
99,1,"""At any rate, Miss Baker\u2019s lips fluttered, she nodded at me almost imperceptibly, and then quickly tipped her head back again\u2014the object she was balancing had obviously tottered a little and given her something of a fright."""
100,1,"""Again a sort of apology arose to my lips."""
101,1,"""Almost any exhibition of complete self-sufficiency draws a stunned tribute from me."""
102,1,"""I looked back at my cousin, who began to ask me questions in her low, thrilling voice."""
103,1,"""It was the kind of voice that the ear follows up and down, as if each speech is an arrangement of notes that will never be played again."""
104,1,"""Her face was sad and lovely with bright things in it, bright eyes and a bright passionate mouth, but there was an excitement in her voice that men who had cared for her found difficult to forget: a singing compulsion, a whispered \u201cListen,\u201d a promise that she had done gay, exciting things just a while since and that there were gay, exciting things hovering in the next hour."""
105,1,"""I told her how I had stopped off in Chicago for a day on my way East, and how a dozen people had sent their love through me."""
106,1,"""\u201cDo they miss me?\u201d"""
107,1,"""she cried ecstatically."""
108,1,"""\u201cThe whole town is desolate."""
109,1,"""All the cars have the left rear wheel painted black as a mourning wreath, and there\u2019s a persistent wail all night along the north shore.\u201d"""
110,1,"""\u201cHow gorgeous!"""
111,1,"""Let\u2019s go back, Tom."""
112,1,"""Tomorrow!\u201d"""
113,1,"""Then she added irrelevantly: \u201cYou ought to see the baby.\u201d"""
114,1,"""\u201cI\u2019d like to.\u201d"""
115,1,"""\u201cShe\u2019s asleep."""
116,1,"""She\u2019s three years old."""
117,1,"""Haven\u2019t you ever seen her?\u201d"""
118,1,"""\u201cNever.\u201d"""
119,1,"""\u201cWell, you ought to see her."""
120,1,"""She\u2019s\u2014\u201d Tom Buchanan, who had been hovering restlessly about the room, stopped and rested his hand on my shoulder."""
121,1,"""\u201cWhat you doing, Nick?\u201d"""
122,1,"""\u201cI\u2019m a bond man.\u201d"""
123,1,"""\u201cWho with?\u201d"""
124,1,"""I told him."""
125,1,"""\u201cNever heard of them,\u201d he remarked decisively."""
126,1,"""This annoyed me."""
127,1,"""\u201cYou will,\u201d I answered shortly."""
128,1,"""\u201cYou will if you stay in the East.\u201d"""
129,1,"""\u201cOh, I\u2019ll stay in the East, don\u2019t you worry,\u201d he said, glancing at Daisy and then back at me, as if he were alert for something more."""
130,1,"""\u201cI\u2019d be a God damned fool to live anywhere else.\u201d"""
131,1,"""At this point Miss Baker said: \u201cAbsolutely!\u201d"""
132,1,"""with such suddenness that I started\u2014it was the first word she had uttered since I came into the room."""
133,1,"""Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room."""
134,1,"""\u201cI\u2019m stiff,\u201d she complained, \u201cI\u2019ve been lying on that sofa for as long as I can remember.\u201d"""
135,1,"""\u201cDon\u2019t look at me,\u201d Daisy retorted, \u201cI\u2019ve been trying to get you to New York all afternoon.\u201d"""
136,1,"""\u201cNo, thanks,\u201d said Miss Baker to the four cocktails just in from the pantry."""
137,1,"""\u201cI\u2019m absolutely in training.\u201d"""
138,1,"""Her host looked at her incredulously."""
139,1,"""\u201cYou are!\u201d"""
140,1,"""He took down his drink as if it were a drop in the bottom of a glass."""
141,1,"""\u201cHow you ever get anything done is beyond me.\u201d"""
142,1,"""I looked at Miss Baker, wondering what it was she \u201cgot done.\u201d"""
143,1,"""I enjoyed looking at her."""
144,1,"""She was a slender, small-breasted girl, with an erect carriage, which she accentuated by throwing her body backward at the shoulders like a young cadet."""
145,1,"""Her grey sun-strained eyes looked back at me with polite reciprocal curiosity out of a wan, charming, discontented face."""
146,1,"""It occurred to me now that I had seen her, or a picture of her, somewhere before."""
147,1,"""\u201cYou live in West Egg,\u201d she remarked contemptuously."""
148,1,"""\u201cI know somebody there.\u201d"""
149,1,"""\u201cI don\u2019t know a single\u2014\u201d \u201cYou must know Gatsby.\u201d"""
150,1,"""\u201cGatsby?\u201d demanded Daisy."""
151,1,"""\u201cWhat Gatsby?\u201d"""
152,1,"""Before I could reply that he was my neighbour dinner was announced; wedging his tense arm imperatively under mine, Tom Buchanan compelled me from the room as though he were moving a checker to another square."""
153,1,"""Slenderly, languidly, their hands set lightly on their hips, the two young women preceded us out on to a rosy-coloured porch, open toward the sunset, where four candles flickered on the table in the diminished wind."""
154,1,"""\u201cWhy candles?\u201d objected Daisy, frowning."""
155,1,"""She snapped them out with her fingers."""
156,1,"""\u201cIn two weeks it\u2019ll be the longest day in the year.\u201d"""
157,1,"""She looked at us all radiantly."""
158,1,"""\u201cDo you always watch for the longest day of the year and then miss it?"""
159,1,"""I always watch for the longest day in the year and then miss it.\u201d"""
160,1,"""\u201cWe ought to plan something,\u201d yawned Miss Baker, sitting down at the table as if she were getting into bed."""
161,1,"""\u201cAll right,\u201d said Daisy."""
162,1,"""\u201cWhat\u2019ll we plan?\u201d"""
163,1,"""She turned to me helplessly: \u201cWhat do people plan?\u201d"""
164,1,"""Before I could answer her eyes fastened with an awed expression on her little finger."""
165,1,"""\u201cLook!\u201d"""
166,1,"""she complained; \u201cI hurt it.\u201d"""
167,1,"""We all looked\u2014the knuckle was black and blue."""
168,1,"""\u201cYou did it, Tom,\u201d she said accusingly."""
169,1,"""\u201cI know you didn\u2019t mean to, but you did do it."""
170,1,"""That\u2019s what I get for marrying a brute of a man, a great, big, hulking physical specimen of a\u2014\u201d \u201cI hate that word \u2018hulking,\u2019\u200a\u201d objected Tom crossly, \u201ceven in kidding.\u201d"""
171,1,"""\u201cHulking,\u201d insisted Daisy."""
172,1,"""Sometimes she and Miss Baker talked at once, unobtrusively and with a bantering inconsequence that was never quite chatter, that was as cool as their white dresses and their impersonal eyes in the absence of all desire."""
173,1,"""They were here, and they accepted Tom and me, making only a polite pleasant effort to entertain or to be entertained."""
174,1,"""They knew that presently dinner would be over and a little later the evening too would be over and casually put away."""
175,1,"""It was sharply different from the West, where an evening was hurried from phase to phase towards its close, in a continually disappointed anticipation or else in sheer nervous dread of the moment itself."""
176,1,"""\u201cYou make me feel uncivilized, Daisy,\u201d I confessed on my second glass of corky but rather impressive claret."""
177,1,"""\u201cCan\u2019t you talk about crops or something?\u201d"""
178,1,"""I meant nothing in particular by this remark, but it was taken up in an unexpected way."""
179,1,"""\u201cCivilization\u2019s going to pieces,\u201d broke out Tom violently."""
180,1,"""\u201cI\u2019ve gotten to be a terrible pessimist about things."""
181,1,"""Have you read The Rise of the Coloured Empires by this man Goddard?\u201d"""
182,1,"""\u201cWhy, no,\u201d I answered, rather surprised by his tone."""
183,1,"""\u201cWell, it\u2019s a fine book, and everybody ought to read it."""
184,1,"""The idea is if we don\u2019t look out the white race will be\u2014will be utterly submerged."""
185,1,"""It\u2019s all scientific stuff; it\u2019s been proved.\u201d"""
186,1,"""\u201cTom\u2019s getting very profound,\u201d said Daisy, with an expression of unthoughtful sadness."""
187,1,"""\u201cHe reads deep books with long words in them."""
188,1,"""What was that word we\u2014\u201d \u201cWell, these books are all scientific,\u201d insisted Tom, glancing at her impatiently."""
189,1,"""\u201cThis fellow has worked out the whole thing."""
190,1,"""It\u2019s up to us, who are the dominant race, to watch out or these other races will have control of things.\u201d"""
191,1,"""\u201cWe\u2019ve got to beat them down,\u201d whispered Daisy, winking ferociously toward the fervent sun."""
192,1,"""\u201cYou ought to live in California\u2014\u201d began Miss Baker, but Tom interrupted her by shifting heavily in his chair."""
193,1,"""\u201cThis idea is that we\u2019re Nordics."""
194,1,"""I am, and you are, and you are, and\u2014\u201d"""
195,1,"""After an infinitesimal hesitation he included Daisy with a slight nod, and she winked at me again."""
196,1,"""\u201c\u2014And we\u2019ve produced all the things that go to make civilization\u2014oh, science and art, and all that."""
197,1,"""Do you see?\u201d"""
198,1,"""There was something pathetic in his concentration, as if his complacency, more acute than of old, was not enough to him any more."""
199,1,"""When, almost immediately, the telephone rang inside and the butler left the porch Daisy seized upon the momentary interruption and leaned towards me."""
200,1,"""\u201cI\u2019ll tell you a family secret,\u201d she whispered enthusiastically."""
201,1,"""\u201cIt\u2019s about the butler\u2019s nose."""
202,1,"""Do you want to hear about the butler\u2019s nose?\u201d"""
203,1,"""\u201cThat\u2019s why I came over tonight.\u201d"""
204,1,"""\u201cWell, he wasn\u2019t always a butler; he used to be the silver polisher for some people in New York that had a silver service for two hundred people."""
205,1,"""He had to polish it from morning till night, until finally it began to affect his nose\u2014\u201d \u201cThings went from bad to worse,\u201d suggested Miss Baker."""
206,1,"""\u201cYes."""
207,1,"""Things went from bad to worse, until finally he had to give up his position.\u201d"""
208,1,"""For a moment the last sunshine fell with romantic affection upon her glowing face; her voice compelled me forward breathlessly as I listened\u2014then the glow faded, each light deserting her with lingering regret, like children leaving a pleasant street at dusk."""
209,1,"""The butler came back and murmured something close to Tom\u2019s ear, whereupon Tom frowned, pushed back his chair, and without a word went inside."""
210,1,"""As if his absence quickened something within her, Daisy leaned forward again, her voice glowing and singing."""
211,1,"""\u201cI love to see you at my table, Nick."""
212,1,"""You remind me of a\u2014of a rose, an absolute rose."""
213,1,"""Doesn\u2019t he?\u201d"""
214,1,"""She turned to Miss Baker for confirmation: \u201cAn absolute rose?\u201d"""
215,1,"""This was untrue."""
216,1,"""I am not even faintly like a rose."""
217,1,"""She was only extemporizing, but a stirring warmth flowed from her, as if her heart was trying to come out to you concealed in one of those breathless, thrilling words."""
218,1,"""Then suddenly she threw her napkin on the table and excused herself and went into the house."""
219,1,"""Miss Baker and I exchanged a short glance consciously devoid of meaning."""
220,1,"""I was about to speak when she sat up alertly and said \u201cSh!\u201d in a warning voice."""
221,1,"""A subdued impassioned murmur was audible in the room beyond, and Miss Baker leaned forward unashamed, trying to hear."""
222,1,"""The murmur trembled on the verge of coherence, sank down, mounted excitedly, and then ceased altogether."""
223,1,"""\u201cThis Mr. Gatsby you spoke of is my neighbour\u2014\u201d I began."""
224,1,"""\u201cDon\u2019t talk."""
225,1,"""I want to hear what happens.\u201d"""
226,1,"""\u201cIs something happening?\u201d"""
227,1,"""I inquired innocently."""
228,1,"""\u201cYou mean to say you don\u2019t know?\u201d said Miss Baker, honestly surprised."""
229,1,"""\u201cI thought everybody knew.\u201d"""
230,1,"""\u201cI don\u2019t.\u201d"""
231,1,"""\u201cWhy\u2014\u201d she said hesitantly."""
232,1,"""\u201cTom\u2019s got some woman in New York.\u201d"""
233,1,"""\u201cGot some woman?\u201d"""
234,1,"""I repeated blankly."""
235,1,"""Miss Baker nodded."""
236,1,"""\u201cShe might have the decency not to telephone him at dinner time."""
237,1,"""Don\u2019t you think?\u201d"""
238,1,"""Almost before I had grasped her meaning there was the flutter of a dress and the crunch of leather boots, and Tom and Daisy were back at the table."""
239,1,"""\u201cIt couldn\u2019t be helped!\u201d cried Daisy with tense gaiety."""
240,1,"""She sat down, glanced searchingly at Miss Baker and then at me, and continued: \u201cI looked outdoors for a minute, and it\u2019s very romantic outdoors."""
241,1,"""There\u2019s a bird on the lawn that I think must be a nightingale come over on the Cunard or White Star Line."""
242,1,"""He\u2019s singing away\u2014\u201d Her voice sang: \u201cIt\u2019s romantic, isn\u2019t it, Tom?\u201d"""
243,1,"""\u201cVery romantic,\u201d he said, and then miserably to me: \u201cIf it\u2019s light enough after dinner, I want to take you down to the stables.\u201d"""
244,1,"""The telephone rang inside, startlingly, and as Daisy shook her head decisively at Tom the subject of the stables, in fact all subjects, vanished into air."""
245,1,"""Among the broken fragments of the last five minutes at table I remember the candles being lit again, pointlessly, and I was conscious of wanting to look squarely at everyone, and yet to avoid all eyes."""
246,1,"""I couldn\u2019t guess what Daisy and Tom were thinking, but I doubt if even Miss Baker, who seemed to have mastered a certain hardy scepticism, was able utterly to put this fifth guest\u2019s shrill metallic urgency out of mind."""
247,1,"""To a certain temperament the situation might have seemed intriguing\u2014my own instinct was to telephone immediately for the police."""
248,1,"""The horses, needless to say, were not mentioned again."""
249,1,"""Tom and Miss Baker, with several feet of twilight between them, strolled back into the library, as if to a vigil beside a perfectly tangible body, while, trying to look pleasantly interested and a little deaf, I followed Daisy around a chain of connecting verandas to the porch in front."""
250,1,"""In its deep gloom we sat down side by side on a wicker settee."""
251,1,"""Daisy took her face in her hands as if feeling its lovely shape, and her eyes moved gradually out into the velvet dusk."""
252,1,"""I saw that turbulent emotions possessed her, so I asked what I thought would be some sedative questions about her little girl."""
253,1,"""\u201cWe don\u2019t know each other very well, Nick,\u201d she said suddenly."""
254,1,"""\u201cEven if we are cousins."""
255,1,"""You didn\u2019t come to my wedding.\u201d"""
256,1,"""\u201cI wasn\u2019t back from the war.\u201d"""
257,1,"""\u201cThat\u2019s true.\u201d"""
258,1,"""She hesitated."""
259,1,"""\u201cWell, I\u2019ve had a very bad time, Nick, and I\u2019m pretty cynical about everything.\u201d"""
260,1,"""Evidently she had reason to be."""
261,1,"""I waited but she didn\u2019t say any more, and after a moment I returned rather feebly to the subject of her daughter."""
262,1,"""\u201cI suppose she talks, and\u2014eats, and everything.\u201d"""
263,1,"""\u201cOh, yes.\u201d"""
264,1,"""She looked at me absently."""
265,1,"""\u201cListen, Nick; let me tell you what I said when she was born."""
266,1,"""Would you like to hear?\u201d"""
267,1,"""\u201cVery much.\u201d"""
268,1,"""\u201cIt\u2019ll show you how I\u2019ve gotten to feel about\u2014things."""
269,1,"""Well, she was less than an hour old and Tom was God knows where."""
270,1,"""I woke up out of the ether with an utterly abandoned feeling, and asked the nurse right away if it was a boy or a girl."""
271,1,"""She told me it was a girl, and so I turned my head away and wept."""
272,1,"""\u2018All right,\u2019 I said, \u2018I\u2019m glad it\u2019s a girl."""
273,1,"""And I hope she\u2019ll be a fool\u2014that\u2019s the best thing a girl can be in this world, a beautiful little fool.\u2019"""
274,1,"""\u201cYou see I think everything\u2019s terrible anyhow,\u201d she went on in a convinced way."""
275,1,"""\u201cEverybody thinks so\u2014the most advanced people."""
276,1,"""And I know."""
277,1,"""I\u2019ve been everywhere and seen everything and done everything.\u201d"""
278,1,"""Her eyes flashed around her in a defiant way, rather like Tom\u2019s, and she laughed with thrilling scorn."""
279,1,"""\u201cSophisticated\u2014God, I\u2019m sophisticated!\u201d"""
280,1,"""The instant her voice broke off, ceasing to compel my attention, my belief, I felt the basic insincerity of what she had said."""
281,1,"""It made me uneasy, as though the whole evening had been a trick of some sort to exact a contributory emotion from me."""
282,1,"""I waited, and sure enough, in a moment she looked at me with an absolute smirk on her lovely face, as if she had asserted her membership in a rather distinguished secret society to which she and Tom belonged."""
283,1,"""------------------------------------------------------------------------"""
284,1,"""Inside, the crimson room bloomed with light."""
285,1,"""Tom and Miss Baker sat at either end of the long couch and she read aloud to him from the Saturday Evening Post\u2014the words, murmurous and uninflected, running together in a soothing tune."""
286,1,"""The lamplight, bright on his boots and dull on the autumn-leaf yellow of her hair, glinted along the paper as she turned a page with a flutter of slender muscles in her arms."""
287,1,"""When we came in she held us silent for a moment with a lifted hand."""
288,1,"""\u201cTo be continued,\u201d she said, tossing the magazine on the table, \u201cin our very next issue.\u201d"""
289,1,"""Her body asserted itself with a restless movement of her knee, and she stood up."""
290,1,"""\u201cTen o\u2019clock,\u201d she remarked, apparently finding the time on the ceiling."""
291,1,"""\u201cTime for this good girl to go to bed.\u201d"""
292,1,"""\u201cJordan\u2019s going to play in the tournament tomorrow,\u201d explained Daisy, \u201cover at Westchester.\u201d"""
293,1,"""\u201cOh\u2014you\u2019re Jordan Baker.\u201d"""
294,1,"""I knew now why her face was familiar\u2014its pleasing contemptuous expression had looked out at me from many rotogravure pictures of the sporting life at Asheville and Hot Springs and Palm Beach."""
295,1,"""I had heard some story of her too, a critical, unpleasant story, but what it was I had forgotten long ago."""
296,1,"""\u201cGood night,\u201d she said softly."""
297,1,"""\u201cWake me at eight, won\u2019t you.\u201d"""
298,1,"""\u201cIf you\u2019ll get up.\u201d"""
299,1,"""\u201cI will."""
300,1,"""Good night, Mr. Carraway."""
301,1,"""See you anon.\u201d"""
302,1,"""\u201cOf course you will,\u201d confirmed Daisy."""
303,1,"""\u201cIn fact I think I\u2019ll arrange a marriage."""
304,1,"""Come over often, Nick, and I\u2019ll sort of\u2014oh\u2014fling you together."""
305,1,"""You know\u2014lock you up accidentally in linen closets and push you out to sea in a boat, and all that sort of thing\u2014\u201d \u201cGood night,\u201d called Miss Baker from the stairs."""
306,1,"""\u201cI haven\u2019t heard a word.\u201d"""
307,1,"""\u201cShe\u2019s a nice girl,\u201d said Tom after a moment."""
308,1,"""\u201cThey oughtn\u2019t to let her run around the country this way.\u201d"""
309,1,"""\u201cWho oughtn\u2019t to?\u201d inquired Daisy coldly."""
310,1,"""\u201cHer family.\u201d"""
311,1,"""\u201cHer family is one aunt about a thousand years old."""
312,1,"""Besides, Nick\u2019s going to look after her, aren\u2019t you, Nick?"""
313,1,"""She\u2019s going to spend lots of weekends out here this summer."""
314,1,"""I think the home influence will be very good for her.\u201d"""
315,1,"""Daisy and Tom looked at each other for a moment in silence."""
316,1,"""\u201cIs she from New York?\u201d"""
317,1,"""I asked quickly."""
318,1,"""\u201cFrom Louisville."""
319,1,"""Our white girlhood was passed together there."""
